postcode,suburb,state,abbrev_state,lat,lon,zone
3029,Hoppers Crossing,Victoria,VIC,-37.8826,144.7003,4
3029,Tarneit,Victoria,VIC,-37.8667,144.6667,4
3030,Point Cook,Victoria,VIC,-37.9148,144.7509,4
3030,Quandong,Victoria,VIC,-37.8139,144.4951,4
3030,Werribee,Victoria,VIC,-37.9,144.6667,4
3030,Derrimut,Victoria,VIC,-37.7924,144.7699,4
3030,Cocoroc,Victoria,VIC,-37.9728,144.5643,4
3030,Werribee South,Victoria,VIC,-37.9475,144.7167,4
3031,Flemington,Victoria,VIC,-37.7882,144.93,4
3031,Kensington,Victoria,VIC,-37.7833,144.9333,4
3032,Maribyrnong,Victoria,VIC,-37.7833,144.8833,4
3032,Highpoint City,Victoria,VIC,-37.7747,144.8999,3
3032,Travancore,Victoria,VIC,-37.7808,144.9354,4
3032,Ascot Vale,Victoria,VIC,-37.7833,144.9167,4
3033,Keilor East,Victoria,VIC,-37.7326,144.865,4
3034,Avondale Heights,Victoria,VIC,-37.7616,144.8626,4
3036,Keilor North,Victoria,VIC,-37.6963,144.8047,4
3036,Keilor,Victoria,VIC,-37.7167,144.8333,4
3037,Hillside,Victoria,VIC,-37.6905,144.7417,4
3037,Calder Park,Victoria,VIC,-37.6798,144.7611,4
3037,Sydenham,Victoria,VIC,-37.7,144.7667,4
3037,Taylors Hill,Victoria,VIC,-37.7099,144.7548,4
3037,Delahey,Victoria,VIC,-37.7198,144.7773,4
3038,Keilor Downs,Victoria,VIC,-37.7234,144.8084,4
3038,Watergardens,Victoria,VIC,-37.6986,144.7863,3
3038,Taylors Lakes,Victoria,VIC,-37.6986,144.7863,4
3038,Keilor Lodge,Victoria,VIC,-37.7,144.8033,4
3039,Moonee Ponds,Victoria,VIC,-37.7667,144.9167,4
3040,Essendon,Victoria,VIC,-37.7667,144.9167,4
3040,Aberfeldie,Victoria,VIC,-37.7596,144.8974,4
3040,Essendon West,Victoria,VIC,-37.7576,144.879,4
3041,Strathmore,Victoria,VIC,-37.6333,142.4833,4
3041,Strathmore Heights,Victoria,VIC,-37.7133,144.8969,4
3041,Essendon North,Victoria,VIC,-37.7422,144.9055,4
3041,Essendon Fields,Victoria,VIC,-37.7245,144.8989,4
3041,Cross Keys,Victoria,VIC,-37.7133,144.8969,3
3042,Keilor Park,Victoria,VIC,-37.7203,144.8542,4
3042,Niddrie North,Victoria,VIC,-37.7311,144.8867,3
3042,Airport West,Victoria,VIC,-37.7247,144.8813,4
3042,Niddrie,Victoria,VIC,-37.7375,144.8921,4
3043,Gowanbrae,Victoria,VIC,-37.7082,144.8908,4
3043,Tullamarine,Victoria,VIC,-37.7013,144.881,4
3043,Gladstone Park,Victoria,VIC,-37.6874,144.8868,4
3044,Pascoe Vale,Victoria,VIC,-37.7333,144.9333,4
3044,Pascoe Vale South,Victoria,VIC,-37.7397,144.9461,4
3045,Melbourne Airport,Victoria,VIC,-37.6743,144.8518,4
3046,Oak Park,Victoria,VIC,-37.7184,144.9195,4
3046,Glenroy,Victoria,VIC,-37.7,144.9333,4
3046,Hadfield,Victoria,VIC,-37.7073,144.9416,4
3047,Dallas,Victoria,VIC,-37.6708,144.9354,4
3047,Broadmeadows,Victoria,VIC,-37.6802,144.9188,4
3047,Jacana,Victoria,VIC,-37.6878,144.9111,4
3048,Coolaroo,Victoria,VIC,-37.6568,144.9346,4
3048,Meadow Heights,Victoria,VIC,-37.6512,144.9186,4
3049,Westmeadows,Victoria,VIC,-37.676,144.887,4
3049,Attwood,Victoria,VIC,-37.6696,144.8868,4
3050,Royal Melbourne Hospital,Victoria,VIC,-37.7981,144.9555,1
3051,North Melbourne,Victoria,VIC,-37.8,144.9667,4
3051,Hotham Hill,Victoria,VIC,-37.7984,144.9449,3
3052,Parkville,Victoria,VIC,-37.7833,144.95,4
3052,Melbourne University,Victoria,VIC,-37.7603,144.9502,3
3053,Carlton,Victoria,VIC,-37.8,144.9667,4
3053,Carlton South,Victoria,VIC,-37.8004,144.9681,3
3054,Princes Hill,Victoria,VIC,-37.7818,144.9666,4
3054,Carlton North,Victoria,VIC,-37.7833,144.9667,4
3055,Brunswick South,Victoria,VIC,-37.7603,144.9502,3
3055,Brunswick West,Victoria,VIC,-37.7646,144.9438,4
3055,Moreland West,Victoria,VIC,-37.7603,144.9502,3
3055,Moonee Vale,Victoria,VIC,-37.7603,144.9502,3
3056,Brunswick,Victoria,VIC,-37.7667,144.9667,4
3056,Brunswick North,Victoria,VIC,-37.7667,144.9667,3
3056,Brunswick Lower,Victoria,VIC,-37.7667,144.9667,3
3057,Sumner,Victoria,VIC,-37.7603,144.9502,3
3057,Brunswick East,Victoria,VIC,-37.7725,144.9724,4
3058,Coburg North,Victoria,VIC,-37.7287,144.9613,4
3058,Moreland,Victoria,VIC,-37.7603,144.9502,3
3058,Batman,Victoria,VIC,-37.75,144.9667,3
3058,Merlynston,Victoria,VIC,-37.7603,144.9502,3
3058,Coburg,Victoria,VIC,-37.75,144.9667,4
3059,Greenvale,Victoria,VIC,-37.6333,144.8667,4
3060,Fawkner,Victoria,VIC,-37.7167,144.9667,4
3061,Campbellfield,Victoria,VIC,-37.6833,144.95,4
3062,Somerton,Victoria,VIC,-37.65,144.9333,4
3063,Yuroke,Victoria,VIC,-37.5911,144.8782,4
3063,Oaklands Junction,Victoria,VIC,-37.615,144.8434,4
3064,Kalkallo,Victoria,VIC,-37.5333,144.95,4
3064,Mickleham,Victoria,VIC,-37.5366,144.902,4
3064,Donnybrook,Victoria,VIC,-37.5333,144.9833,4
3064,Roxburgh Park,Victoria,VIC,-37.6258,144.9255,4
3064,Craigieburn,Victoria,VIC,-37.6,144.95,4
3065,Fitzroy,Victoria,VIC,-37.7984,144.9783,4
3066,Collingwood,Victoria,VIC,-37.8,144.9833,4
3066,Collingwood North,Victoria,VIC,-37.8,144.9833,3
3067,Abbotsford,Victoria,VIC,-37.8,145,4
3068,Fitzroy North,Victoria,VIC,-37.7886,144.9788,4
3068,Clifton Hill,Victoria,VIC,-37.7904,144.9975,4
3070,Northcote South,Victoria,VIC,-37.7667,145,3
3070,Northcote,Victoria,VIC,-37.7667,145,4
3071,Thornbury,Victoria,VIC,-37.75,145,4
3072,Preston,Victoria,VIC,-37.75,145.0167,4
3072,Regent West,Victoria,VIC,-37.7241,145.0179,3
3072,Gilberton,Victoria,VIC,-37.75,145.0167,3
3072,Preston South,Victoria,VIC,-37.7241,145.0179,3
3072,Preston West,Victoria,VIC,-37.75,145.0167,3
3072,Northland Centre,Victoria,VIC,-37.7241,145.0179,3
3072,Preston Lower,Victoria,VIC,-37.75,145.0167,3
3073,Reservoir,Victoria,VIC,-37.7167,145,4
3073,Keon Park,Victoria,VIC,-37.7,145.0167,4
3074,Thomastown,Victoria,VIC,-37.6833,145.0167,4
3075,Lalor,Victoria,VIC,-37.6667,145.0167,4
3076,Epping Dc,Victoria,VIC,-37.6307,145.006,3
3076,Epping,Victoria,VIC,-37.65,145.0333,4
3078,Alphington,Victoria,VIC,-37.7804,145.0309,4
3078,Fairfield,Victoria,VIC,-37.7798,145.0176,4
3079,Ivanhoe,Victoria,VIC,-37.769,145.0431,4
3079,Ivanhoe East,Victoria,VIC,-37.7832,145.0525,4
3079,Ivanhoe North,Victoria,VIC,-37.769,145.0431,3
3081,Heidelberg West,Victoria,VIC,-37.75,145.0333,4
3081,Heidelberg Rgh,Victoria,VIC,-37.743,145.0464,3
3081,Bellfield,Victoria,VIC,-37.7531,145.0385,4
3081,Heidelberg Heights,Victoria,VIC,-37.7431,145.057,4
3082,Mill Park,Victoria,VIC,-37.6667,145.0667,4
3083,Kingsbury,Victoria,VIC,-37.7141,145.0351,4
3083,Bundoora,Victoria,VIC,-37.6982,145.0597,4
3083,La Trobe University,Victoria,VIC,-37.7062,145.0474,3
3084,Viewbank,Victoria,VIC,-37.7399,145.0932,4
3084,Banyule,Victoria,VIC,-37.7464,145.0771,3
3084,Rosanna,Victoria,VIC,-37.7396,145.0697,4
3084,Heidelberg,Victoria,VIC,-37.75,145.0667,4
3084,Eaglemont,Victoria,VIC,-37.7638,145.0638,4
3085,Yallambie,Victoria,VIC,-37.7251,145.0935,4
3085,Macleod West,Victoria,VIC,-37.7228,145.0817,3
3085,Macleod,Victoria,VIC,-37.7204,145.0698,4
3086,La Trobe University,Victoria,VIC,-37.7173,145.0826,1
3087,Watsonia North,Victoria,VIC,-37.6998,145.0847,4
3087,Watsonia,Victoria,VIC,-37.7167,145.0833,4
3088,Saint Helena,Victoria,VIC,-37.7,145.1333,4
3088,Briar Hill,Victoria,VIC,-37.7167,145.1167,4
3088,Greensborough,Victoria,VIC,-37.7046,145.103,4
3088,St Helena,Victoria,VIC,-37.6895,145.1296,4
3089,Diamond Creek,Victoria,VIC,-37.6667,145.15,4
3090,Plenty,Victoria,VIC,-37.6667,145.1167,4
3091,Yarrambat,Victoria,VIC,-37.6375,145.1349,4
3093,Lower Plenty,Victoria,VIC,-37.7333,145.1167,4
3094,Montmorency,Victoria,VIC,-37.7167,145.1167,4
3095,Research,Victoria,VIC,-37.7,145.1833,4
3095,Eltham,Victoria,VIC,-37.7333,145.15,4
3095,Eltham North,Victoria,VIC,-37.7,145.15,4
3096,Wattle Glen,Victoria,VIC,-37.6667,145.1833,4
3097,Bend Of Islands,Victoria,VIC,-37.7008,145.2848,4
3097,Kangaroo Ground,Victoria,VIC,-37.6892,145.2317,4
3097,Watsons Creek,Victoria,VIC,-37.6833,145.2333,4
3099,Strathewen,Victoria,VIC,-37.55,145.2667,4
3099,Hurstbridge,Victoria,VIC,-37.6416,145.1941,4
3099,Arthurs Creek,Victoria,VIC,-37.5833,145.2,4
3099,Cottles Bridge,Victoria,VIC,-37.6333,145.2167,4
3099,Nutfield,Victoria,VIC,-37.6167,145.1833,4
3101,Kew,Victoria,VIC,-37.8064,145.0309,4
3101,Cotham,Victoria,VIC,-37.8064,145.0309,3
3102,Kew East,Victoria,VIC,-37.7976,145.0538,4
3103,Balwyn,Victoria,VIC,-37.8117,145.081,4
3103,Stradbroke Park,Victoria,VIC,-37.8117,145.081,3
3103,Deepdene,Victoria,VIC,-37.8167,145.0667,4
3103,Balwyn East,Victoria,VIC,-37.8117,145.081,3
3104,Balwyn North,Victoria,VIC,-37.7909,145.0939,4
3104,Greythorn,Victoria,VIC,-37.7909,145.0939,3
3105,Bulleen,Victoria,VIC,-37.7667,145.0833,4
3106,Templestowe,Victoria,VIC,-37.75,145.1167,4
3107,Templestowe Lower,Victoria,VIC,-37.7667,145.1167,4
3108,Doncaster,Victoria,VIC,-37.7883,145.1237,4
3109,Tunstall Square Po,Victoria,VIC,-37.7795,145.1638,3
3109,Doncaster East,Victoria,VIC,-37.7876,145.1489,4
3109,Doncaster Heights,Victoria,VIC,-37.7795,145.1638,3
3110,Nunawading Bc,Victoria,VIC,-37.7576,145.2408,1
3111,Donvale,Victoria,VIC,-37.7891,145.1749,4
3113,Warrandyte,Victoria,VIC,-37.75,145.2333,4
3113,North Warrandyte,Victoria,VIC,-37.7292,145.2157,4
3114,Park Orchards,Victoria,VIC,-37.7769,145.2146,4
3115,Wonga Park,Victoria,VIC,-37.7333,145.2667,4
3116,Chirnside Park,Victoria,VIC,-37.7386,145.3143,4
3121,Burnley,Victoria,VIC,-37.8286,145.0077,4
3121,Cremorne,Victoria,VIC,-37.8333,145,4
3121,Richmond,Victoria,VIC,-37.8182,145.0018,4
3121,Richmond East,Victoria,VIC,-37.8271,145.0064,3
3121,Burnley North,Victoria,VIC,-37.8271,145.0064,3
3121,Richmond South,Victoria,VIC,-37.8271,145.0064,3
3121,Richmond North,Victoria,VIC,-37.8271,145.0064,3
3122,Glenferrie South,Victoria,VIC,-37.8344,145.0397,3
3122,Auburn South,Victoria,VIC,-37.8333,145.05,4
3122,Hawthorn,Victoria,VIC,-37.8199,145.0358,4
3122,Hawthorn North,Victoria,VIC,-37.85,145.0333,3
3122,Hawthorn West,Victoria,VIC,-37.8344,145.0397,3
3123,Auburn,Victoria,VIC,-37.8167,145.05,4
3123,Hawthorn East,Victoria,VIC,-37.8248,145.0464,4
3124,Camberwell North,Victoria,VIC,-37.8248,145.0705,3
3124,Camberwell,Victoria,VIC,-37.8421,145.0694,4
3124,Camberwell West,Victoria,VIC,-37.8248,145.0705,3
3124,Camberwell South,Victoria,VIC,-37.8248,145.0705,3
3124,Hartwell,Victoria,VIC,-37.8421,145.0694,3
3124,Middle Camberwell,Victoria,VIC,-37.8248,145.0705,3
3125,Burwood,Victoria,VIC,-37.8505,145.0949,4
3125,Surrey Hills South,Victoria,VIC,-37.8498,145.119,3
3125,Bennettswood,Victoria,VIC,-37.8495,145.1114,3
3126,Canterbury,Victoria,VIC,-37.8247,145.0848,4
3126,Camberwell East,Victoria,VIC,-37.8248,145.0705,3
3127,Surrey Hills,Victoria,VIC,-37.8252,145.1004,4
3127,Surrey Hills North,Victoria,VIC,-37.8128,145.1043,3
3127,Mont Albert,Victoria,VIC,-37.8167,145.1,4
3128,Box Hill South,Victoria,VIC,-37.8324,145.121,4
3128,Box Hill Central,Victoria,VIC,-37.8256,145.1232,3
3128,Box Hill,Victoria,VIC,-37.8189,145.1254,4
3128,Wattle Park,Victoria,VIC,-37.829,145.1248,3
3128,Houston,Victoria,VIC,-37.829,145.1248,3
3129,Box Hill North,Victoria,VIC,-37.8027,145.1266,4
3129,Kerrimuir,Victoria,VIC,-37.8048,145.1229,3
3129,Mont Albert North,Victoria,VIC,-37.8004,145.1083,4
3130,Blackburn North,Victoria,VIC,-37.8093,145.1518,4
3130,Blackburn South,Victoria,VIC,-37.8398,145.1555,4
3130,Blackburn,Victoria,VIC,-37.819,145.1533,4
3130,Laburnum,Victoria,VIC,-37.8232,145.1511,3
3131,Forest Hill,Victoria,VIC,-37.8333,145.1833,4
3131,Brentford Square,Victoria,VIC,-37.8275,145.1739,3
3131,Nunawading,Victoria,VIC,-37.8204,145.1731,4
3132,Mitcham North,Victoria,VIC,-37.8182,145.199,3
3132,Mitcham,Victoria,VIC,-37.8167,145.2,4
3132,Rangeview,Victoria,VIC,-37.8186,145.1987,3
3133,Vermont,Victoria,VIC,-37.8362,145.1943,4
3133,Vermont South,Victoria,VIC,-37.8575,145.1827,4
3134,Warrandyte South,Victoria,VIC,-37.7667,145.25,4
3134,Heathwood,Victoria,VIC,-37.7944,145.2389,3
3134,Warranwood,Victoria,VIC,-37.7756,145.2473,4
3134,Ringwood North,Victoria,VIC,-37.8,145.2333,4
3134,Ringwood,Victoria,VIC,-37.8167,145.2333,4
3135,Bedford Road,Victoria,VIC,-37.8213,145.2489,3
3135,Ringwood East,Victoria,VIC,-37.8167,145.25,4
3135,Heathmont,Victoria,VIC,-37.8333,145.25,4
3136,Croydon North,Victoria,VIC,-37.7833,145.3,4
3136,Croydon South,Victoria,VIC,-37.8123,145.2681,4
3136,Croydon Hills,Victoria,VIC,-37.7765,145.2636,4
3136,Croydon,Victoria,VIC,-37.8,145.2833,4
3137,Kilsyth,Victoria,VIC,-37.8,145.3167,4
3137,Kilsyth South,Victoria,VIC,-37.8203,145.316,4
3138,Mooroolbark,Victoria,VIC,-37.7833,145.3,4
3139,Hoddles Creek,Victoria,VIC,-37.8333,145.5833,4
3139,Beenak,Victoria,VIC,-37.9,145.6333,4
3139,Don Valley,Victoria,VIC,-37.7364,145.5923,4
3139,Seville,Victoria,VIC,-37.7667,145.4667,4
3139,Woori Yallock,Victoria,VIC,-37.7806,145.5382,4
3139,Yellingbo,Victoria,VIC,-37.846,145.5291,4
3139,Wandin North,Victoria,VIC,-37.7833,145.4333,4
3139,Launching Place,Victoria,VIC,-37.7806,145.5683,4
3139,Seville East,Victoria,VIC,-37.775,145.4973,4
3139,Wandin East,Victoria,VIC,-37.8151,145.458,4
3140,Lilydale,Victoria,VIC,-37.75,145.35,4
3141,South Yarra,Victoria,VIC,-37.8333,144.9833,4
3142,Toorak,Victoria,VIC,-37.8416,145.0144,4
3142,Hawksburn,Victoria,VIC,-37.8416,145.0177,3
3143,Armadale,Victoria,VIC,-37.8554,145.0205,4
3143,Armadale North,Victoria,VIC,-37.85,145.0333,4
3144,Kooyong,Victoria,VIC,-37.8399,145.0352,4
3144,Malvern,Victoria,VIC,-37.8626,145.0281,4
3144,Malvern North,Victoria,VIC,-37.8512,145.0317,3
3145,Malvern East,Victoria,VIC,-37.874,145.0425,4
3145,Darling,Victoria,VIC,-37.8775,145.0624,3
3145,Caulfield East,Victoria,VIC,-37.8833,145.05,4
3145,Central Park,Victoria,VIC,-37.8775,145.0624,3
3145,Darling South,Victoria,VIC,-37.874,145.0425,3
3145,Wattletree Road Po,Victoria,VIC,-37.874,145.0425,3
3146,Glen Iris,Victoria,VIC,-37.8667,145.0667,4
3146,Tooronga,Victoria,VIC,-37.8599,145.0549,3
3147,Ashwood,Victoria,VIC,-37.8666,145.1055,4
3147,Ashburton,Victoria,VIC,-37.8626,145.0794,4
3148,Jordanville,Victoria,VIC,-37.8833,145.1167,3
3148,Holmesglen,Victoria,VIC,-37.8821,145.1002,3
3148,Chadstone,Victoria,VIC,-37.8877,145.0952,4
3148,Chadstone Centre,Victoria,VIC,-37.8855,145.1059,3
3149,Syndal,Victoria,VIC,-37.8742,145.1479,4
3149,Pinewood,Victoria,VIC,-37.8756,145.1387,3
3149,Mount Waverley,Victoria,VIC,-37.8771,145.1294,4
3150,Wheelers Hill,Victoria,VIC,-37.9,145.1833,4
3150,Brandon Park,Victoria,VIC,-37.8891,145.174,3
3150,Glen Waverley,Victoria,VIC,-37.8781,145.1648,4
3151,Burwood Heights,Victoria,VIC,-37.8535,145.1503,3
3151,Burwood East,Victoria,VIC,-37.85,145.15,4
3152,Wantirna South,Victoria,VIC,-37.8833,145.2167,4
3152,Knox City Centre,Victoria,VIC,-37.8656,145.2228,3
3152,Wantirna,Victoria,VIC,-37.85,145.2167,4
3152,Studfield,Victoria,VIC,-37.8656,145.2228,3
3153,Bayswater North,Victoria,VIC,-37.8261,145.2983,4
3153,Bayswater,Victoria,VIC,-37.85,145.2667,4
3154,The Basin,Victoria,VIC,-37.85,145.3167,4
3155,Boronia,Victoria,VIC,-37.8667,145.2833,4
3156,Lysterfield South,Victoria,VIC,-37.9581,145.2727,4
3156,Lysterfield,Victoria,VIC,-37.9333,145.3,4
3156,Mountain Gate,Victoria,VIC,-37.9136,145.2823,3
3156,Upper Ferntree Gully,Victoria,VIC,-37.8942,145.3124,4
3156,Ferntree Gully,Victoria,VIC,-37.8846,145.2954,4
3158,Upwey,Victoria,VIC,-37.9,145.3333,4
3159,Menzies Creek,Victoria,VIC,-37.9167,145.4,4
3159,Selby,Victoria,VIC,-37.9167,145.3833,4
3160,Tecoma,Victoria,VIC,-37.903,145.3447,4
3160,Belgrave South,Victoria,VIC,-37.9333,145.3333,4
3160,Belgrave Heights,Victoria,VIC,-37.9167,145.35,4
3160,Belgrave,Victoria,VIC,-37.9,145.35,4
3161,Caulfield North,Victoria,VIC,-37.8739,145.0249,4
3161,Caulfield Junction,Victoria,VIC,-37.872,145.0216,3
3162,Caulfield South,Victoria,VIC,-37.8956,145.026,4
3162,Hopetoun Gardens,Victoria,VIC,-37.8914,145.0254,3
3162,Caulfield,Victoria,VIC,-37.8825,145.0229,4
3163,Glen Huntly,Victoria,VIC,-37.8833,145.05,4
3163,Carnegie,Victoria,VIC,-37.8833,145.0667,4
3163,Booran Road Po,Victoria,VIC,-37.8895,145.0581,3
3163,Murrumbeena,Victoria,VIC,-37.8902,145.0711,4
3164,Dandenong South,Victoria,VIC,-37.9833,145.2,4
3165,Coatesville,Victoria,VIC,-37.9221,145.0667,3
3165,Bentleigh East,Victoria,VIC,-37.9193,145.053,4
3166,Oakleigh East,Victoria,VIC,-37.9,145.1167,4
3166,Oakleigh,Victoria,VIC,-37.8981,145.0884,4
3166,Huntingdale,Victoria,VIC,-37.9077,145.1085,4
3166,Hughesdale,Victoria,VIC,-37.9,145.0833,4
3167,Oakleigh South,Victoria,VIC,-37.9,145.1,4
3168,Notting Hill,Victoria,VIC,-37.905,145.1427,4
3168,Clayton,Victoria,VIC,-37.9173,145.1304,4
3169,Clarinda,Victoria,VIC,-37.9333,145.1167,4
3169,Clayton South,Victoria,VIC,-37.9333,145.1167,4
3170,Waverley Gardens,Victoria,VIC,-37.9167,145.2,3
3170,Mulgrave,Victoria,VIC,-37.9167,145.2,4
3171,Sandown Village,Victoria,VIC,-37.9457,145.1581,3
3171,Springvale,Victoria,VIC,-37.9485,145.1527,4
3172,Springvale South,Victoria,VIC,-37.9667,145.15,4
3172,Dingley Village,Victoria,VIC,-37.9827,145.1342,4
3173,Keysborough,Victoria,VIC,-37.9912,145.1739,4
3174,Noble Park,Victoria,VIC,-37.9667,145.1667,4
3174,Noble Park North,Victoria,VIC,-37.9498,145.1926,4
3175,Dandenong East,Victoria,VIC,-37.9833,145.2,3
3175,Dunearn,Victoria,VIC,-37.9833,145.2,3
3175,Dandenong South,Victoria,VIC,-37.9833,145.2,4
3175,Dandenong North,Victoria,VIC,-37.9665,145.2081,4
3175,Dandenong,Victoria,VIC,-37.9833,145.2,4
3175,Bangholme,Victoria,VIC,-38.0384,145.1869,4
3176,Scoresby Bc,Victoria,VIC,-37.9636,145.1943,1
3177,Doveton,Victoria,VIC,-37.9935,145.2389,4
3177,Eumemmerring,Victoria,VIC,-37.9978,145.2482,4
3178,Rowville,Victoria,VIC,-37.9333,145.2333,4
3179,Scoresby,Victoria,VIC,-37.9,145.2333,4
3180,Knoxfield,Victoria,VIC,-37.8898,145.2496,4
3181,Prahran,Victoria,VIC,-37.8511,144.9932,4
3181,Windsor,Victoria,VIC,-37.8548,144.9927,4
3181,Prahran East,Victoria,VIC,-37.853,144.9929,3
3182,St Kilda West,Victoria,VIC,-37.8599,144.9711,4
3182,St Kilda South,Victoria,VIC,-37.8633,144.9802,3
3182,St Kilda,Victoria,VIC,-37.8633,144.9802,3
3183,St Kilda East,Victoria,VIC,-37.8659,145.0002,4
3183,Balaclava,Victoria,VIC,-37.8692,144.9977,4
3184,Elwood,Victoria,VIC,-37.8821,144.9821,4
3184,Brighton Road,Victoria,VIC,-37.8809,144.9855,3
3185,Elsternwick,Victoria,VIC,-37.8864,145.0025,4
3185,Gardenvale,Victoria,VIC,-37.8979,145.0074,4
3185,Ripponlea,Victoria,VIC,-37.8833,145,4
3186,Dendy,Victoria,VIC,-37.895,145.0191,3
3186,Brighton,Victoria,VIC,-37.9056,145.0028,4
3186,Brighton North,Victoria,VIC,-37.9069,145.0053,4
3186,Were Street Po,Victoria,VIC,-37.9057,145.0067,3
3187,North Road,Victoria,VIC,-37.9667,145.0167,4
3187,Brighton East,Victoria,VIC,-37.9023,145.0173,4
3188,Hampton,Victoria,VIC,-37.9372,145.0046,4
3188,Hampton East,Victoria,VIC,-37.937,145.0286,4
3188,Hampton North,Victoria,VIC,-37.9374,145.0151,3
3189,Moorabbin,Victoria,VIC,-37.9367,145.0342,4
3189,Moorabbin East,Victoria,VIC,-37.9367,145.0342,4
3189,Wishart,Victoria,VIC,-37.9415,145.0578,3
3190,Highett,Victoria,VIC,-37.95,145.05,4
3191,Sandringham,Victoria,VIC,-37.95,145,4
3192,Cheltenham,Victoria,VIC,-37.9694,145.0481,4
3192,Cheltenham East,Victoria,VIC,-37.9634,145.0615,3
3192,Southland Centre,Victoria,VIC,-37.9634,145.0615,3
3193,Beaumaris,Victoria,VIC,-37.9822,145.0389,4
3193,Black Rock North,Victoria,VIC,-37.9667,145.0167,4
3193,Black Rock,Victoria,VIC,-37.9736,145.0164,4
3193,Cromer,Victoria,VIC,-37.9773,145.0323,3
3194,Mentone,Victoria,VIC,-37.9833,145.0667,4
3194,Mentone East,Victoria,VIC,-37.9833,145.0667,3
3194,Moorabbin Airport,Victoria,VIC,-37.9799,145.0815,3
3195,Braeside,Victoria,VIC,-37.9995,145.1163,4
3195,Mordialloc,Victoria,VIC,-38,145.0833,4
